optimizer mean_correct_inclusion_rate mean_correct_exclusion_rate mean_summary_score
Adam 0.3894059405940593 0.6216326530612247 1.0110385936552841
AdamW 0.33851485148514837 0.7930612244897961 1.1315760759749445
RMSprop 0.21118811881188115 0.9573469387755102 1.1685350575873914
Adagrad 0.2297029702970298 0.6326530612244897 0.8623560315215195
Adadelta 0.09405940594059409 0.9367346938775509 1.030794099818145
NAdam 0.34900990099009904 0.6471428571428572 0.9961527581329563
ASGD 0.0 1.0 1.0
SGD 0.0 1.0 1.0
